mmsi,numVoy,mmsi,numObsInVoys,type,ave_len_voy,ave_time_gap,ave_dist_gap,vi_dist_gap,vi_time_gap
1252339803566.0,148,1252339803566.0,608212,trawlers,3034136.804054054,1424.7807447062899,1.6926282851981715,2.8391175080433118,1141.0416890841702
1272259798559.0,9,1272259798559.0,49839,unknown,316504.55555555556,269.73538461323284,0.07161073497425684,3.7698853948843416,3055.039099736962
1679641928004.0,5,1679641928004.0,89158,unknown,114159.8,290.26710347749463,0.06790595345166822,0.24367390061038566,1554.384265126451
2579932616331.0,2,2579932616331.0,92237,unknown,18673.5,282.79062405788363,0.011344192837366845,0.5387701500210929,675.7828484749987
5020143137211.0,198,5020143137211.0,169656,trawlers,11634821.636363637,11169.609084755353,1.8597717094330803,0.12716105919843754,632.9692390177224
5145483253513.0,3,5145483253513.0,90750,trawlers,21454784.0,1506.748832847966,0.8275559029767446,0.8332745633173579,1559.3822333851085
5601266154050.0,7,5601266154050.0,77138,drifting_longlines,536418.2857142857,1523.2092907462097,1.5263581600264295,2.3615729571458774,1834.0613664628459
6335157561408.0,12,6335157561408.0,6299,unknown,408825.6666666667,1054.563241976495,0.6367279352557434,3.8261326948103265,16305.823529411764
6676525615332.0,1,6676525615332.0,78855,unknown,4737.0,526.3333333333334,0.001907383407512449,1.2839323177794078,821.0022446546783
7572518792420.0,1,7572518792420.0,65423,fixed_gear,969.0,969.0,0.0006518724276573968,0.6326941721437842,2023.2873803919172
8681844482850.0,18,8681844482850.0,114589,trawlers,437955.3888888889,1033.465724648309,0.7974936657012615,0.8742437621914225,1331.2442113971063
9924005022437.0,12,9924005022437.0,55111,purse_seines,6536924.416666667,1678.7832228343088,0.8311513471998747,1.4219180437401224,1795.3503130030406
10759394346704.0,2,10759394346704.0,13556,fixed_gear,1.0,1.0,0.0,0.6044055699356937,9885.225394717427
10880510825243.0,17,10880510825243.0,112225,purse_seines,192905.41176470587,604.0612005311359,0.10942633482558123,2.6125024333684386,1297.5902142487728
11170005450471.0,1,11170005450471.0,14360,purse_seines,3135749.0,1080.1753358594558,0.2528517229533106,1.7368480350819244,7938.2899923393
12639560807591.0,29,12639560807591.0,11550,drifting_longlines,8902426.103448275,2379.3844453745132,0.8486997819099125,6.8252115320816635,10993.652886247877
14895733446040.0,1,14895733446040.0,15493,unknown,110512924.0,1353.6117487108509,2.198009133489833,0.8130735386658186,6089.313452104312
16347293924784.0,10,16347293924784.0,138944,unknown,51163258.0,2859.215546861079,2.0282724439405166,0.12237829457438731,996.9519771978062
16384026414706.0,8,16384026414706.0,49260,unknown,1751.5,319.89732142857144,0.0012752195883965207,0.8292886647016916,1167.1663656106025
16508054338972.0,2,16508054338972.0,145279,drifting_longlines,1281.5,300.07142857142856,0.001252777736891941,0.5236796318589376,704.1902434659306
17756107268614.0,3,17756107268614.0,90811,unknown,2929.6666666666665,713.8333333333334,0.001305921286585936,2.125832238900544,1702.8079595634795
18199244904065.0,4,18199244904065.0,17126,purse_seines,711.75,291.45,0.0007878272505236865,0.9748618215377768,6783.374080130826
18269795425247.0,26,18269795425247.0,18193,unknown,3625784.653846154,509.7323212914864,0.2552970186299151,1.2163747967707563,6025.20282837176
18483455048454.0,19,18483455048454.0,55169,pole_and_line,9427560.94736842,1376.8245378260983,0.9065504031319017,0.6341586157867977,2513.8457116953764
18517940995316.0,3,18517940995316.0,36058,unknown,1988626.6666666667,1189.2299854507608,1.3314980101277336,1.7817841785025483,4285.034253224241
19148042891053.0,49,19148042891053.0,20265,unknown,503708.4693877551,870.3347153753873,0.20214763761653162,0.48841241197258584,786.3434880965206
19859547683322.0,40,19859547683322.0,59701,trawlers,2114278.475,1956.8044070757082,0.634530907196795,0.17951010804112486,1800.2806862640625
20001834541437.0,1,20001834541437.0,68645,drifting_longlines,2772148.0,1115.5525150905432,1.8685582706098987,1.2524730744856174,1982.8624788765223
21010652444840.0,23,21010652444840.0,42500,unknown,6922295.043478261,5513.325151660582,2.340542025348985,1.6930205716740707,3629.1233466698045
21232708893780.0,2,21232708893780.0,198457,drifting_longlines,317863.5,6584.846031746032,5.926146527189347,1.2442520052889234,779.2930185684412
21625609698694.0,1,21625609698694.0,68359,unknown,839621.0,6663.658730158731,5.376294324304292,1.3063624579040571,1928.225898943796
22183621822862.0,1,22183621822862.0,137745,unknown,92500.0,4204.545454545455,0.650976129767987,0.25982335505304394,1122.2691950284586
23406746127304.0,1,23406746127304.0,17624,drifting_longlines,699208.0,5378.523076923077,6.428222017265445,4.276050065015481,7086.766328093968
23593130178765.0,48,23593130178765.0,175569,drifting_longlines,786543.875,5873.879038532643,1.851958354139627,1.0504722605284285,694.5420719287966
23770783250938.0,6,23770783250938.0,236837,drifting_longlines,14916.5,231.95926174733458,0.0934618830863313,0.8644740328224428,632.3236442864321
26616040923734.0,16,26616040923734.0,26691,purse_seines,161825.0,815.822249411684,0.12740325368558372,1.510119914835295,2222.2545623579645
27932326533321.0,105,27932326533321.0,115274,drifting_longlines,8944710.657142857,2092.1219755958014,55.61662289350051,1.6893500580376581,1235.3885742171874
28144259049658.0,4,28144259049658.0,11706,fixed_gear,23115.5,743.0286091549295,0.003656459679509234,0.6422139058329082,10438.146944191061
28204768563961.0,210,28204768563961.0,26417,unknown,5453761.695238095,9255.436971255265,14.435743246765165,1.1361668327762957,3123.987810543548
30054937091173.0,1,30054937091173.0,33259,fixed_gear,648192.0,7122.989010989011,4.679696212408945,1.7751280532712115,4516.440405316014
