,numVoy,mmsi,numObsInVoys,type,ave_len_voy,ave_time_gap,ave_dist_gap,vi_dist_gap,vi_time_gap,numObs,numShips,numVoyages,aveNumVoyages,numVoyages_q25,vi_dist_diff_q75,vi_time_diff_q75,voy_len_q75,time_gap_q75,dist_gap_q75
0,149,1252339803566.0,608212,trawlers,1804041.0134228189,1423.3353352869563,1.6812849843357016,2.8391175080433118,1141.0416890841702,4368464,49,2501,NULL,NULL,0.5444712833660966,898.0,946266.0,2538.6162744395833,1.5939254923600168
1,9,1272259798559.0,49839,unknown,16859236.666666668,269.73538461323284,0.07161073497425684,3.7698853948843416,3055.039099736962,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
2,5,1679641928004.0,89158,unknown,27717696.6,290.26710347749463,0.06790595345166822,0.24367390061038566,1554.384265126451,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
3,2,2579932616331.0,92237,unknown,31165269.5,282.79062405788363,0.011344192837366845,0.5387701500210929,675.7828484749987,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
4,198,5020143137211.0,169656,trawlers,523926.29292929295,11169.609084755353,1.8597717094330803,0.12716105919843754,632.9692390177224,4368464,49,2501,NULL,NULL,0.5444712833660966,898.0,946266.0,2538.6162744395833,1.5939254923600168
5,3,5145483253513.0,90750,trawlers,47177768.666666664,1506.748832847966,0.8275559029767446,0.8332745633173579,1559.3822333851085,4368464,49,2501,NULL,NULL,0.5444712833660966,898.0,946266.0,2538.6162744395833,1.5939254923600168
6,7,5601266154050.0,77138,drifting_longlines,20199295.42857143,1523.2092907462097,1.5263581600264295,2.3615729571458774,1834.0613664628459,13968275,110,1385,NULL,NULL,0.3490017336979671,452.0,5445760.0,2684.373689727463,1.428384245279476
7,12,6335157561408.0,6299,unknown,8786918.833333334,1054.563241976495,0.6367279352557434,3.8261326948103265,16305.823529411764,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
8,1,6676525615332.0,78855,unknown,64739311.0,526.3333333333334,0.001907383407512449,1.2839323177794078,821.0022446546783,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
9,1,7572518792420.0,65423,fixed_gear,132367507.0,969.0,0.0006518724276573968,0.6326941721437842,2023.2873803919172,1559093,36,698,NULL,NULL,0.5044203785446466,949.0,170571.5,5121.719308035714,1.5636171172796722
10,18,8681844482850.0,114589,trawlers,8535156.444444444,1033.465724648309,0.7974936657012615,0.8742437621914225,1331.2442113971063,4368464,49,2501,NULL,NULL,0.5444712833660966,898.0,946266.0,2538.6162744395833,1.5939254923600168
11,12,9924005022437.0,55111,purse_seines,8290952.166666667,1678.7832228343088,0.8311513471998747,1.4219180437401224,1795.3503130030406,1545306,28,360,NULL,NULL,0.5231519142948668,937.0,8352896.5,3209.08,2.5530147838089783
12,2,10759394346704.0,13556,fixed_gear,66992172.5,1.0,0.0,0.6044055699356937,9885.225394717427,1559093,36,698,NULL,NULL,0.5044203785446466,949.0,170571.5,5121.719308035714,1.5636171172796722
13,17,10880510825243.0,112225,purse_seines,8540883.647058824,604.0612005311359,0.10942633482558123,2.6125024333684386,1297.5902142487728,1545306,28,360,NULL,NULL,0.5231519142948668,937.0,8352896.5,3209.08,2.5530147838089783
14,1,11170005450471.0,14360,purse_seines,113985906.0,1080.1753358594558,0.2528517229533106,1.7368480350819244,7938.2899923393,1545306,28,360,NULL,NULL,0.5231519142948668,937.0,8352896.5,3209.08,2.5530147838089783
15,29,12639560807591.0,11550,drifting_longlines,4455731.689655173,2379.3844453745132,0.8486997819099125,6.8252115320816635,10993.652886247877,13968275,110,1385,NULL,NULL,0.3490017336979671,452.0,5445760.0,2684.373689727463,1.428384245279476
16,1,14895733446040.0,15493,unknown,94335644.0,1353.6117487108509,2.198009133489833,0.8130735386658186,6089.313452104312,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
17,10,16347293924784.0,138944,unknown,13851052.6,2859.215546861079,2.0282724439405166,0.12237829457438731,996.9519771978062,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
18,8,16384026414706.0,49260,unknown,7187329.0,319.89732142857144,0.0012752195883965207,0.8292886647016916,1167.1663656106025,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
19,2,16508054338972.0,145279,drifting_longlines,51151323.0,300.07142857142856,0.001252777736891941,0.5236796318589376,704.1902434659306,13968275,110,1385,NULL,NULL,0.3490017336979671,452.0,5445760.0,2684.373689727463,1.428384245279476
20,3,17756107268614.0,90811,unknown,51543428.333333336,713.8333333333334,0.001305921286585936,2.125832238900544,1702.8079595634795,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
21,4,18199244904065.0,17126,purse_seines,29036232.75,291.45,0.0007878272505236865,0.9748618215377768,6783.374080130826,1545306,28,360,NULL,NULL,0.5231519142948668,937.0,8352896.5,3209.08,2.5530147838089783
22,26,18269795425247.0,18193,unknown,4211370.923076923,509.7323212914864,0.2552970186299151,1.2163747967707563,6025.20282837176,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
